ligand_id,affinity_kcal_per_mol
emap3_Bn-3CF3_CH2CH2CF2CH3,-6.725
emap3_Bn-3CF3_CH2CH2CF2H,-5.622
emap3_Bn-3CF3_CH2CH2CF3,-6.990
emap3_Bn-3CF3_CH2CH2CH2CF2CF3,-6.417
emap3_Bn-3CF3_CH2CH2CH2CF3,-6.085
emap3_Bn-3CF3_CH2CH2CH2CHF2,-6.897
emap3_Bn-3CF3_CH2CH2CH2F,-6.603
emap3_Bn-3CF3_CH2CH2CHF2,-6.756
emap3_Bn-3CF3_CH2CH2F,-5.487
emap3_Bn-3CF3_CH2CH2SiMe3,-6.285
emap3_Bn-3CF3_CH2CHF2,-5.007
emap3_Bn-3CF3_CH2F,-5.377
emap3_Bn-3CF3_CH2SiEt3,-5.304
emap3_Bn-3CF3_CH2SiMe3,-6.452
emap3_Bn-3CF3_Et,-5.406
emap3_Bn-3CF3_Me,-5.689
emap3_Bn-3CF3_OCH2CF2CF3,-6.438
emap3_Bn-3CF3_OCH2CF2CH2CH2F,-6.687
emap3_Bn-3CF3_OCH2CF2CH2F,-5.684
emap3_Bn-3CF3_OCH2CF2CH3,-5.519
emap3_Bn-3CF3_OCH2CF2H,-6.721
emap3_Bn-3CF3_OCH2CF3,-6.927
emap3_Bn-3CF3_OCH2CH2CF2CF3,-5.489
emap3_Bn-3CF3_OCH2CH2CF2CH2CH2F,-6.697
emap3_Bn-3CF3_OCH2CH2CF2CH2F,-5.479
emap3_Bn-3CF3_OCH2CH2CF2H,-4.935
emap3_Bn-3CF3_OCH2CH2CF3,-5.771
emap3_Bn-3CF3_OCH2CH2CH2CF3,-6.697
emap3_Bn-3CF3_OCH2CH2CH2CHF2,-6.677
emap3_Bn-3CF3_OCH2CH2CH2F,-5.474
emap3_Bn-3CF3_OCH2CH2CHF2,-4.919
emap3_Bn-3CF3_OCH2CH2F,-6.864
emap3_Bn-3CF3_OCH2CHF2,-5.492
emap3_Bn-3CF3_OCH2F,-4.910
emap3_Bn-3CF3_OSiMe3,-5.426
emap3_Bn-3CF3_PhCH2F,-5.763
emap3_Bn-3CF3_nBu,-6.676
emap3_Bn-3CF3_nPr,-5.531
emap3_Bn-3CF3_tBu,-5.405
emap3_Bn-3Cl_4CF3_BnCH2,-6.018
emap3_Bn-3Cl_4CF3_CH2CF2CF3,-5.689
