round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note
R3,emap3_Bn-4Cl_CH2CH2CF2CH2CH2CHF2,CCN(Cc1ccc(Cl)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)F,531.966,4.955,,4.347,73.020,0,4,10,-5.600,1,-5.846,3.000,
R3,emap3_Bn-4Cl_CH2CH2CF2CH2CH2CF3,CCN(Cc1ccc(Cl)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)(F)F,549.956,5.253,,4.644,73.020,0,4,9,-5.965,2,-6.634,2.400,
R3,emap3_Bn-3Cl_Me,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,435.915,3.499,,2.891,73.020,0,4,6,-4.351,0,-5.000,5.400,
R3,emap3_Bn-3Cl_Et,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC,449.942,3.982,,3.374,73.020,0,4,7,-4.676,0,-6.467,5.400,
R3,emap3_Bn-3Cl_nPr,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC,463.969,4.372,,3.764,73.020,0,4,8,-4.943,0,-6.283,4.800,
R3,emap3_Bn-3Cl_nBu,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCC,477.996,4.762,,4.154,73.020,0,4,9,-5.210,1,-6.348,3.600,
R3,emap3_Bn-3Cl_CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CF,453.905,3.889,,3.281,73.020,0,4,7,-4.642,0,-6.510,5.400,
R3,emap3_Bn-3Cl_CH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCF,467.932,3.932,,3.323,73.020,0,4,8,-4.690,0,-6.162,5.400,
R3,emap3_Bn-3Cl_CH2CH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCF,481.959,4.322,,3.713,73.020,0,4,9,-4.957,0,-6.407,4.800,
R3,emap3_Bn-3Cl_CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,471.895,4.357,,3.749,73.020,0,4,7,-5.049,0,-5.009,4.800,
R3,emap3_Bn-3Cl_CH2CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,485.922,4.227,,3.619,73.020,0,4,8,-4.988,0,-6.366,4.800,
R3,emap3_Bn-3Cl_CH2CH2CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)F,499.949,4.617,,4.009,73.020,0,4,9,-5.255,1,-6.347,3.600,
R3,emap3_Bn-3Cl_CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)(F)F,489.885,4.438,,3.830,73.020,0,4,6,-5.277,0,-6.267,4.800,
R3,emap3_Bn-3Cl_CH2CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)(F)F,503.912,4.524,,3.916,73.020,0,4,7,-5.353,1,-6.146,3.600,
R3,emap3_Bn-3Cl_CH2CH2CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)(F)F,517.939,4.915,,4.306,73.020,0,4,8,-5.619,1,-6.601,3.000,
R3,emap3_Bn-3Cl_OCH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COF,469.904,3.821,,3.135,82.250,0,5,8,-4.632,0,-6.451,5.400,
R3,emap3_Bn-3Cl_OCH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)F,501.921,4.159,,3.473,82.250,0,5,9,-4.978,1,-6.404,4.200,
R3,emap3_Bn-3Cl_OCH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)(F)F,519.911,4.456,,3.771,82.250,0,5,8,-5.343,1,-6.682,4.200,
R3,emap3_Bn-3Cl_OCH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCF,483.931,3.863,,3.178,82.250,0,5,9,-4.680,0,-6.148,5.400,
R3,emap3_Bn-3Cl_OCH2CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)(F)F,533.938,4.499,,3.813,82.250,0,5,9,-5.390,1,-6.301,4.200,
R3,emap3_Bn-3Cl_OCH2CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)F,515.948,4.201,,3.516,82.250,0,5,10,-5.026,1,-6.372,4.200,
R3,emap3_Bn-3Cl_OCH2CH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCF,497.958,3.906,,3.220,82.250,0,5,10,-4.728,0,-6.018,5.400,
R3,emap3_Bn-3Cl_OCH2CH2CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCC(F)(F)F,547.965,4.889,,4.203,82.250,0,5,10,-5.657,1,-6.373,3.000,
R3,emap3_Bn-3Cl_CH2SiMe3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C[Si](C)(C)C,508.098,4.840,,4.231,73.020,0,4,8,-5.511,1,-6.215,3.000,
R3,emap3_Bn-3Cl_CH2CH2SiMe3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC[Si](C)(C)C,522.125,5.300,,4.692,73.020,0,4,9,-5.822,2,-6.317,2.400,
R3,emap3_Bn-3Cl_OSiMe3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)O[Si](C)(C)C,510.070,4.226,,3.540,82.250,0,5,8,-5.137,1,-6.115,4.200,
R3,emap3_Bn-3Cl_CH2SiEt3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C[Si](CC)(CC)CC,550.179,6.010,,5.401,73.020,0,4,11,-6.311,2,-6.480,1.800,
R3,emap3_Bn-3Cl_tBu,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(C)(C)C,477.996,4.717,,4.109,73.020,0,4,6,-5.379,1,-6.305,3.600,
R3,emap3_Bn-3Cl_BnCH2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)Cc1ccccc1C,526.040,5.319,,4.710,73.020,0,4,8,-5.924,2,-6.999,2.400,
R3,emap3_Bn-3Cl_PhCH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)c1ccccc1CF,530.003,5.421,,4.812,73.020,0,4,8,-6.013,2,-6.455,2.400,
R3,emap3_Bn-3Cl_OCH2CF2H,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)F,501.921,4.159,,3.473,82.250,0,5,9,-4.978,1,-6.368,4.200,
R3,emap3_Bn-3Cl_OCH2CH2CF2H,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)F,515.948,4.201,,3.516,82.250,0,5,10,-5.026,1,-6.331,4.200,
R3,emap3_Bn-3Cl_CH2CF2H,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,471.895,4.357,,3.749,73.020,0,4,7,-5.049,0,-5.005,4.800,
R3,emap3_Bn-3Cl_CH2CH2CF2H,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,485.922,4.227,,3.619,73.020,0,4,8,-4.988,0,-6.379,4.800,
R3,emap3_Bn-3Cl_OCH2CH2CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCC(F)F,529.975,4.591,,3.906,82.250,0,5,11,-5.292,1,-6.301,3.600,
R3,emap3_Bn-3Cl_CH2CH2CF2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)(F)F,535.929,4.863,,4.254,73.020,0,4,8,-5.698,1,-6.675,3.000,
R3,emap3_Bn-3Cl_CH2CF2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)(F)F,521.902,4.993,,4.384,73.020,0,4,7,-5.759,1,-6.627,3.000,
R3,emap3_Bn-3Cl_CH2CH2CH2CF2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)C(F)(F)F,549.956,5.253,,4.644,73.020,0,4,9,-5.965,2,-7.080,2.400,
R3,emap3_Bn-3Cl_CH2CH2CF2CH3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C,481.959,4.320,,3.712,73.020,0,4,8,-5.022,0,-6.375,4.800,
R3,emap3_Bn-3Cl_OCH2CF2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)C(F)(F)F,551.928,4.794,,4.109,82.250,0,5,9,-5.688,2,-6.593,2.400,
R3,emap3_Bn-3Cl_OCH2CF2CH3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)C,497.958,4.252,,3.566,82.250,0,5,9,-5.012,0,-6.246,4.800,
R3,emap3_Bn-3Cl_OCH2CH2CF2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)C(F)(F)F,565.955,4.837,,4.151,82.250,0,5,10,-5.736,2,-5.844,2.400,
R3,emap3_Bn-3Cl_CH2CF2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)CF,485.922,4.400,,3.791,73.020,0,4,8,-5.097,0,-6.266,4.800,
R3,emap3_Bn-3Cl_CH2CH2CF2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CF,499.949,4.270,,3.661,73.020,0,4,9,-5.036,0,-6.250,4.800,
R3,emap3_Bn-3Cl_OCH2CF2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)CF,515.948,4.201,,3.516,82.250,0,5,10,-5.026,1,-6.471,4.200,
R3,emap3_Bn-3Cl_CH2CH2CF2CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)F,517.939,4.565,,3.957,73.020,0,4,9,-5.333,1,-5.835,3.600,
R3,emap3_Bn-3Cl_CH2CH2CF2CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)(F)F,535.929,4.863,,4.254,73.020,0,4,8,-5.698,1,-6.585,3.000,
R3,emap3_Bn-3Cl_OCH2CH2CF2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)CF,529.975,4.244,,3.558,82.250,0,5,11,-5.073,1,-5.558,4.200,
R3,emap3_Bn-3Cl_CH2CH2CF2CH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CCF,513.976,4.660,,4.051,73.020,0,4,10,-5.302,1,-6.326,3.000,
R3,emap3_Bn-3Cl_CH2CF2CH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)CCF,499.949,4.790,,4.181,73.020,0,4,9,-5.363,1,-6.061,3.600,
R3,emap3_Bn-3Cl_CH2CF2CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)F,503.912,4.695,,4.087,73.020,0,4,8,-5.394,1,-6.299,3.000,
R3,emap3_Bn-3Cl_CH2CF2CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)(F)F,521.902,4.993,,4.384,73.020,0,4,7,-5.759,1,-6.336,3.000,
R3,emap3_Bn-3Cl_OCH2CF2CH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)CCF,529.975,4.591,,3.906,82.250,0,5,11,-5.292,1,-6.407,3.600,
R3,emap3_Bn-3Cl_OCH2CH2CF2CH2CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)CCF,544.002,4.634,,3.948,82.250,0,5,12,-5.340,1,-6.554,3.600,
R3,emap3_Bn-3Cl_CH2CH2CF2CH2CH2CHF2,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)F,531.966,4.955,,4.347,73.020,0,4,10,-5.600,1,-6.440,3.000,
R3,emap3_Bn-3Cl_CH2CH2CF2CH2CH2CF3,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)(F)F,549.956,5.253,,4.644,73.020,0,4,9,-5.965,2,-6.470,2.400,
R3,emap3_Bn-4Br_Me,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,480.366,3.608,,3.000,73.020,0,4,6,-4.695,0,-5.487,5.400,
R3,emap3_Bn-4Br_Et,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC,494.393,4.091,,3.483,73.020,0,4,7,-5.021,0,-6.254,4.800,
R3,emap3_Bn-4Br_nPr,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC,508.420,4.481,,3.873,73.020,0,4,8,-5.287,1,-6.199,4.200,
R3,emap3_Bn-4Br_nBu,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCC,522.447,4.871,,4.263,73.020,0,4,9,-5.554,1,-6.118,3.000,
R3,emap3_Bn-4Br_CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CF,498.356,3.998,,3.390,73.020,0,4,7,-4.987,0,-6.206,5.400,
R3,emap3_Bn-4Br_CH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCF,512.383,4.041,,3.432,73.020,0,4,8,-5.034,1,-6.139,4.200,
R3,emap3_Bn-4Br_CH2CH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCF,526.410,4.431,,3.822,73.020,0,4,9,-5.301,1,-6.169,4.200,
R3,emap3_Bn-4Br_CH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,516.346,4.466,,3.858,73.020,0,4,7,-5.393,1,-6.275,4.200,
R3,emap3_Bn-4Br_CH2CH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,530.373,4.336,,3.728,73.020,0,4,8,-5.332,1,-6.303,4.200,
R3,emap3_Bn-4Br_CH2CH2CH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)F,544.400,4.726,,4.118,73.020,0,4,9,-5.599,1,-6.425,3.000,
R3,emap3_Bn-4Br_CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)(F)F,534.336,4.548,,3.939,73.020,0,4,6,-5.622,1,-6.210,3.600,
R3,emap3_Bn-4Br_CH2CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)(F)F,548.363,4.634,,4.025,73.020,0,4,7,-5.697,1,-6.336,3.000,
R3,emap3_Bn-4Br_CH2CH2CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)(F)F,562.390,5.024,,4.415,73.020,0,4,8,-5.964,2,-6.443,2.400,
R3,emap3_Bn-4Br_OCH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COF,514.355,3.930,,3.244,82.250,0,5,8,-4.977,1,-6.243,4.800,
R3,emap3_Bn-4Br_OCH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)F,546.372,4.268,,3.582,82.250,0,5,9,-5.322,1,-6.356,4.200,
R3,emap3_Bn-4Br_OCH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)(F)F,564.362,4.565,,3.880,82.250,0,5,8,-5.687,2,-6.377,3.000,
R3,emap3_Bn-4Br_OCH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCF,528.382,3.972,,3.287,82.250,0,5,9,-5.025,1,-6.189,4.800,
R3,emap3_Bn-4Br_OCH2CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)(F)F,578.389,4.608,,3.922,82.250,0,5,9,-5.735,2,-5.650,3.000,
R3,emap3_Bn-4Br_OCH2CH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)F,560.399,4.310,,3.625,82.250,0,5,10,-5.370,2,-5.358,3.600,
R3,emap3_Bn-4Br_OCH2CH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCF,542.409,4.015,,3.329,82.250,0,5,10,-5.072,1,-6.139,4.200,
R3,emap3_Bn-4Br_OCH2CH2CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCC(F)(F)F,592.416,4.998,,4.312,82.250,0,5,10,-6.002,2,-5.198,2.400,
R3,emap3_Bn-4Br_CH2SiMe3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C[Si](C)(C)C,552.549,4.949,,4.340,73.020,0,4,8,-5.855,2,-6.283,2.400,
R3,emap3_Bn-4Br_CH2CH2SiMe3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC[Si](C)(C)C,566.576,5.409,,4.801,73.020,0,4,9,-6.167,2,-5.609,1.800,
R3,emap3_Bn-4Br_OSiMe3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)O[Si](C)(C)C,554.521,4.335,,3.649,82.250,0,5,8,-5.481,2,-6.224,3.600,
R3,emap3_Bn-4Br_CH2SiEt3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C[Si](CC)(CC)CC,594.630,6.119,,5.510,73.020,0,4,11,-6.656,2,-6.074,1.800,
R3,emap3_Bn-4Br_tBu,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(C)(C)C,522.447,4.826,,4.218,73.020,0,4,6,-5.724,1,-6.199,3.000,
R3,emap3_Bn-4Br_BnCH2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)Cc1ccccc1C,570.491,5.428,,4.819,73.020,0,4,8,-6.269,2,-6.927,1.800,
R3,emap3_Bn-4Br_PhCH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)c1ccccc1CF,574.454,5.530,,4.921,73.020,0,4,8,-6.357,2,-5.685,1.800,
R3,emap3_Bn-4Br_OCH2CF2H,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)F,546.372,4.268,,3.582,82.250,0,5,9,-5.322,1,-6.389,4.200,
R3,emap3_Bn-4Br_OCH2CH2CF2H,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)F,560.399,4.310,,3.625,82.250,0,5,10,-5.370,2,-5.650,3.600,
R3,emap3_Bn-4Br_CH2CF2H,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,516.346,4.466,,3.858,73.020,0,4,7,-5.393,1,-6.271,4.200,
R3,emap3_Bn-4Br_CH2CH2CF2H,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,530.373,4.336,,3.728,73.020,0,4,8,-5.332,1,-6.220,4.200,
R3,emap3_Bn-4Br_OCH2CH2CH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCC(F)F,574.426,4.701,,4.015,82.250,0,5,11,-5.637,2,-6.171,2.400,
R3,emap3_Bn-4Br_CH2CH2CF2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)(F)F,580.380,4.972,,4.363,73.020,0,4,8,-6.042,2,-6.450,2.400,
R3,emap3_Bn-4Br_CH2CF2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)(F)F,566.353,5.102,,4.493,73.020,0,4,7,-6.103,2,-6.125,2.400,
R3,emap3_Bn-4Br_CH2CH2CH2CF2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)C(F)(F)F,594.407,5.362,,4.753,73.020,0,4,9,-6.309,2,-6.648,1.800,
R3,emap3_Bn-4Br_CH2CH2CF2CH3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C,526.410,4.429,,3.821,73.020,0,4,8,-5.366,1,-6.309,4.200,
R3,emap3_Bn-4Br_OCH2CF2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)C(F)(F)F,596.379,4.903,,4.218,82.250,0,5,9,-6.033,2,-6.373,2.400,
R3,emap3_Bn-4Br_OCH2CF2CH3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)C,542.409,4.361,,3.675,82.250,0,5,9,-5.356,1,-6.291,4.200,
R3,emap3_Bn-4Br_OCH2CH2CF2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)C(F)(F)F,610.406,4.946,,4.260,82.250,0,5,10,-6.080,2,-6.036,2.400,
R3,emap3_Bn-4Br_CH2CF2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)CF,530.373,4.509,,3.900,73.020,0,4,8,-5.441,1,-6.207,3.600,
R3,emap3_Bn-4Br_CH2CH2CF2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CF,544.400,4.379,,3.770,73.020,0,4,9,-5.380,1,-6.143,4.200,
R3,emap3_Bn-4Br_OCH2CF2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)CF,560.399,4.310,,3.625,82.250,0,5,10,-5.370,2,-5.416,3.600,
R3,emap3_Bn-4Br_CH2CH2CF2CH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)F,562.390,4.674,,4.066,73.020,0,4,9,-5.678,2,-6.324,2.400,
R3,emap3_Bn-4Br_CH2CH2CF2CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)(F)F,580.380,4.972,,4.363,73.020,0,4,8,-6.042,2,-6.437,2.400,
R3,emap3_Bn-4Br_OCH2CH2CF2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)CF,574.426,4.353,,3.667,82.250,0,5,11,-5.418,2,-5.737,3.600,
R3,emap3_Bn-4Br_CH2CH2CF2CH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CCF,558.427,4.769,,4.160,73.020,0,4,10,-5.647,2,-5.638,2.400,
R3,emap3_Bn-4Br_CH2CF2CH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)CCF,544.400,4.899,,4.290,73.020,0,4,9,-5.708,1,-6.127,3.000,
R3,emap3_Bn-4Br_CH2CF2CH2CHF2,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)F,548.363,4.804,,4.196,73.020,0,4,8,-5.739,1,-6.554,3.000,
R3,emap3_Bn-4Br_CH2CF2CH2CF3,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)(F)F,566.353,5.102,,4.493,73.020,0,4,7,-6.103,2,-6.115,2.400,
R3,emap3_Bn-4Br_OCH2CF2CH2CH2F,CCN(Cc1ccc(Br)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)CCF,574.426,4.701,,4.015,82.250,0,5,11,-5.637,2,-5.629,2.400,
