round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note
R3,emap3_Bn-3Cl_4CF3_OCH2CH2CF2CH2F,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)CF,597.972,5.263,,4.577,82.250,0,5,11,-6.137,2,-5.829,1.800,
R3,emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CH2F,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CCF,581.973,5.679,,5.070,73.020,0,4,10,-6.366,2,-6.715,1.800,
R3,emap3_Bn-3Cl_4CF3_CH2CF2CH2CH2F,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)CCF,567.946,5.809,,5.200,73.020,0,4,9,-6.427,2,-5.629,1.800,
R3,emap3_Bn-3Cl_4CF3_CH2CF2CH2CHF2,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)F,571.909,5.714,,5.106,73.020,0,4,8,-6.458,2,-5.425,1.800,
R3,emap3_Bn-3Cl_4CF3_CH2CF2CH2CF3,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)(F)F,589.899,6.011,,5.403,73.020,0,4,7,-6.822,2,-5.724,1.800,
R3,emap3_Bn-3Cl_4CF3_OCH2CF2CH2CH2F,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)CCF,597.972,5.610,,4.925,82.250,0,5,11,-6.356,2,-5.760,1.800,
R3,emap3_Bn-3Cl_4CF3_OCH2CH2CF2CH2CH2F,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)CCF,611.999,5.653,,4.967,82.250,0,5,12,-6.404,2,-5.045,1.800,
R3,emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CH2CHF2,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)F,599.963,5.974,,5.366,73.020,0,4,10,-6.664,2,-5.851,1.800,
R3,emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CH2CF3,CCN(Cc1c(Cl)ccc(C(F)(F)F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)(F)F,617.953,6.271,,5.663,73.020,0,4,9,-7.028,2,-6.861,1.800,
R3,emap3_Bn-3F_4OMe_Me,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,449.486,2.993,,2.308,82.250,0,5,7,-4.051,0,-6.266,5.400,
R3,emap3_Bn-3F_4OMe_Et,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC,463.513,3.476,,2.791,82.250,0,5,8,-4.376,0,-5.708,5.400,
R3,emap3_Bn-3F_4OMe_nPr,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC,477.540,3.866,,3.181,82.250,0,5,9,-4.643,0,-4.928,5.400,
R3,emap3_Bn-3F_4OMe_nBu,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCC,491.567,4.257,,3.571,82.250,0,5,10,-4.909,0,-5.941,4.800,
R3,emap3_Bn-3F_4OMe_CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CF,467.476,3.383,,2.698,82.250,0,5,8,-4.342,0,-5.803,5.400,
R3,emap3_Bn-3F_4OMe_CH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCF,481.503,3.426,,2.740,82.250,0,5,9,-4.390,0,-6.070,5.400,
R3,emap3_Bn-3F_4OMe_CH2CH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCF,495.530,3.816,,3.131,82.250,0,5,10,-4.656,0,-5.914,5.400,
R3,emap3_Bn-3F_4OMe_CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,485.466,3.852,,3.166,82.250,0,5,8,-4.748,0,-6.511,5.400,
R3,emap3_Bn-3F_4OMe_CH2CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,499.493,3.722,,3.036,82.250,0,5,9,-4.687,0,-6.279,5.400,
R3,emap3_Bn-3F_4OMe_CH2CH2CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)F,513.520,4.112,,3.426,82.250,0,5,10,-4.954,1,-6.573,4.200,
R3,emap3_Bn-3F_4OMe_CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)(F)F,503.456,3.933,,3.247,82.250,0,5,7,-4.977,1,-5.993,4.800,
R3,emap3_Bn-3F_4OMe_CH2CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)(F)F,517.483,4.019,,3.333,82.250,0,5,8,-5.052,1,-6.419,4.200,
R3,emap3_Bn-3F_4OMe_CH2CH2CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)(F)F,531.510,4.409,,3.723,82.250,0,5,9,-5.319,1,-6.426,4.200,
R3,emap3_Bn-3F_4OMe_OCH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COF,483.475,3.315,,2.553,91.480,0,6,9,-4.332,1,-5.993,4.800,
R3,emap3_Bn-3F_4OMe_OCH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)F,515.492,3.653,,2.891,91.480,0,6,10,-4.678,2,-6.291,4.200,
R3,emap3_Bn-3F_4OMe_OCH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)(F)F,533.482,3.950,,3.188,91.480,0,6,9,-5.042,2,-6.331,4.200,
R3,emap3_Bn-3F_4OMe_OCH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCF,497.502,3.358,,2.595,91.480,0,6,10,-4.380,1,-5.761,4.800,
R3,emap3_Bn-3F_4OMe_OCH2CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)(F)F,547.509,3.993,,3.230,91.480,0,6,10,-5.090,2,-6.110,4.200,
R3,emap3_Bn-3F_4OMe_OCH2CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)F,529.519,3.696,,2.933,91.480,0,6,11,-4.725,2,-5.938,4.200,
R3,emap3_Bn-3F_4OMe_OCH2CH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCF,511.529,3.400,,2.638,91.480,0,6,11,-4.427,2,-6.287,4.200,
