round,ligand_id,smiles
R2,emap2_Bn-4SF5_CH2CF3,CCN(Cc1ccc(S(F)(F)(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21
R3,emap3_Bn_Me,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C
R3,emap3_Bn_Et,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC
R3,emap3_Bn_nPr,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC
R3,emap3_Bn_nBu,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCC
R3,emap3_Bn_CH2F,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CF
R3,emap3_Bn_CH2CH2F,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCF
R3,emap3_Bn_CH2CH2CH2F,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCF
R3,emap3_Bn_CH2CHF2,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F
R3,emap3_Bn_CH2CH2CHF2,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F
R3,emap3_Bn_CH2CH2CH2CHF2,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)F
R3,emap3_Bn_CH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)(F)F
R3,emap3_Bn_CH2CH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)(F)F
R3,emap3_Bn_CH2CH2CH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC(F)(F)F
R3,emap3_Bn_OCH2F,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COF
R3,emap3_Bn_OCH2CHF2,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)F
R3,emap3_Bn_OCH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)(F)F
R3,emap3_Bn_OCH2CH2F,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCF
R3,emap3_Bn_OCH2CH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)(F)F
R3,emap3_Bn_OCH2CH2CHF2,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)F
R3,emap3_Bn_OCH2CH2CH2F,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCF
R3,emap3_Bn_OCH2CH2CH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCC(F)(F)F
R3,emap3_Bn_CH2SiMe3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C[Si](C)(C)C
R3,emap3_Bn_CH2CH2SiMe3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC[Si](C)(C)C
