frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,fixed_pocket_contact_count_4A,all_protein_contact_count_4A,fixed_pocket_min_distance_A,all_protein_min_distance_A,ligand_COM_to_fixed_pocket_center_A
25,260.00000077516546,1.6249291864998783,1.9033534002371588,22,22,3.328247295736517,3.328247295736517,6.187304496765137
26,270.00000080497955,1.5911842636749653,2.087861105943389,17,17,3.3866097789253837,3.3866097789253837,5.984944820404053
27,280.0000008347936,1.682051344380712,2.006935936795555,26,26,3.2969962162282798,3.2969962162282798,5.450826644897461
28,290.00000086460767,1.659168814180709,2.3240332768648653,26,26,3.3053658602124187,3.3053658602124187,6.228611946105957
29,300.0000008944217,1.76095985976229,2.1675181393456526,19,19,3.2671716660230583,3.2671716660230583,5.850600719451904
30,310.0000009242358,1.8408795963011217,1.9725214211815616,25,25,3.3138374176857357,3.3138374176857357,5.640564918518066
31,320.0000009540498,1.7352925694645742,2.1438211202345046,22,22,3.1462767104881224,3.1462767104881224,5.632511138916016
32,330.00000098386386,2.0009035656744127,2.665618039847862,22,22,3.387831926821854,3.387831926821854,5.610285758972168
33,340.00000101367795,1.8784219004304537,2.27864590896451,16,16,3.306041565022294,3.306041565022294,5.890627384185791
34,350.000001043492,1.9224089710701788,2.474727449746813,22,22,3.3729478829173756,3.3729478829173756,6.119350433349609
35,360.00000107330607,1.891325579208248,2.1063914511262403,29,29,3.09072837597563,3.09072837597563,6.119564056396484
36,370.0000011031201,1.902384614971413,1.9786678856163813,18,18,3.4183801747833886,3.4183801747833886,5.6796722412109375
37,380.0000011329342,1.8627724023334684,1.8529057579823087,19,19,3.4471978036700763,3.4471978036700763,5.955594539642334
38,390.0000011627482,1.8124509413851508,2.5912820858107204,19,19,3.3283490452464615,3.3283490452464615,6.076329708099365
39,400.0000011925623,1.8178111802963024,1.9629111625876114,16,16,3.5664223351825126,3.5664223351825126,6.230510234832764
40,410.00000122237634,1.7931778854610179,2.158810946435073,20,20,3.3151486844910094,3.3151486844910094,5.626530647277832
41,420.0000012521904,1.8146831199943174,1.934307331806561,31,31,3.203829504139729,3.203829504139729,5.958438396453857
42,430.00000128200446,1.797635144006698,2.484164720193074,31,31,3.287067751505964,3.287067751505964,6.111755847930908
43,440.0000013118185,1.8780526275497063,3.461989136708741,21,23,3.5453274982452387,3.5453274982452387,6.061127662658691
44,450.0000013416326,1.761597003276693,3.5159453706884642,18,22,3.369063703947094,3.369063703947094,6.315324306488037
45,460.0000013714466,1.9631278804428318,2.8626688472952693,23,24,3.3589013391080584,3.3589013391080584,5.737390518188477
46,470.0000014012607,1.9438348386870505,2.67753280510901,24,24,3.1517345111759556,3.1517345111759556,6.166767597198486
47,480.00000143107474,1.8966081583731205,2.1608302757343827,30,30,3.393071995689569,3.393071995689569,5.483043193817139
48,490.00000146088877,1.9567862982669197,2.4547764388023654,25,25,3.238461122648329,3.238461122648329,5.704580307006836
49,500.00000149070286,1.8169042938199294,2.233857299062908,23,23,3.070639039750909,3.070639039750909,5.743791103363037
50,510.0000015205169,1.7166494008595148,2.0900372120555506,29,29,3.341354638682539,3.341354638682539,5.67228364944458
51,520.0000015503309,1.8605681053253678,1.9907011196253868,31,31,3.471314007043955,3.471314007043955,5.222690105438232
52,530.0000015801451,1.7446916099883352,2.2272264733648606,15,15,3.4053024972531536,3.4053024972531536,5.889181613922119
53,540.0000016099591,1.780620051919957,2.367953829457675,22,22,3.224000781276591,3.224000781276591,5.6463518142700195
