"t_min","Cp","Ct_extrav","Ct_keep"
4.3000002,0.001215089,0.000509114896,TRUE
4.4000004,0.001207154,0.00050355682,TRUE
4.5,0.001199597,0.000498434289,TRUE
4.6000002,0.001192372,0.000493696517,TRUE
4.6999998,0.001185438,0.000489298312,TRUE
4.8000006,0.001178761,0.000485199685,TRUE
4.9000002,0.001172309,0.000481365944,TRUE
5.0000004,0.001166055,0.000477765795,TRUE
5.1,0.001159974,0.000474370444,TRUE
5.2000002,0.001154046,0.000471158198,TRUE
5.3000004,0.001148252,0.000468105761,TRUE
5.4,0.001142574,0.000465191939,TRUE
5.5000002,0.001137001,0.000462404033,TRUE
5.5999998,0.001131519,0.000459724448,TRUE
5.7,0.001126115,0.000457138888,TRUE
5.8000002,0.001120784,0.000454638754,TRUE
5.9000004,0.001115516,0.000452212448,TRUE
6,0.001110303,0.000449850674,TRUE
6.100002,0.001105141,0.000447547232,TRUE
6.199998,0.001100025,0.000445294824,TRUE
6.3,0.00109495,0.000443087752,TRUE
6.400002,0.001089914,0.000440921216,TRUE
6.499998,0.001084913,0.000438790518,TRUE
6.6,0.001079944,0.000436691859,TRUE
6.700002,0.001075007,0.000434622239,TRUE
6.799998,0.001070098,0.00043257816,TRUE
6.9,0.001065216,0.000430557022,TRUE
7.000002,0.001060361,0.000428557225,TRUE
7.099998,0.001055532,0.000426576071,TRUE
7.2,0.001050726,0.00042461226,TRUE
7.300002,0.001045945,0.000422664492,TRUE
7.399998,0.001041188,0.000420731567,TRUE
7.5,0.001036454,0.000418812387,TRUE
7.600002,0.001031743,0.000416906352,TRUE
7.699998,0.001027057,0.000415012661,TRUE
7.8,0.001022393,0.000413131016,TRUE
7.900002,0.001017754,0.000411260816,TRUE
7.999998,0.001013138,0.000409401663,TRUE
8.1,0.001008546,0.000407553255,TRUE
8.200002,0.001003978,0.000405715194,TRUE
8.299998,0.0009994353,0.00040388808,TRUE
8.4,0.0009949171,0.000402071213,TRUE
8.500002,0.0009904238,0.000400264393,TRUE
8.599998,0.0009859554,0.000398467321,TRUE
8.7,0.0009815119,0.000396679898,TRUE
8.800002,0.0009770949,0.000394903222,TRUE
8.899998,0.0009727035,0.000393136395,TRUE
9,0.0009683381,0.000391379317,TRUE
9.100002,0.0009639985,0.000389631788,TRUE
9.199998,0.0009596854,0.000387894309,TRUE
9.3,0.0009553993,0.00038616718,TRUE
9.400002,0.00095114,0.0003844501,TRUE
9.499998,0.0009469076,0.000382742971,TRUE
9.6,0.0009427022,0.000381045993,TRUE
9.700002,0.0009385244,0.000379359466,TRUE
9.799998,0.000934374,0.00037768329,TRUE
9.9,0.0009302513,0.000376017665,TRUE
10.000002,0.0009261564,0.000374362493,TRUE
10.099998,0.0009220893,0.000372718072,TRUE
10.2,0.0009180502,0.000371084204,TRUE
10.300002,0.0009140391,0.000369461189,TRUE
10.399998,0.000910056,0.000367848927,TRUE
10.5,0.0009061011,0.000366247518,TRUE
10.600002,0.0009021742,0.000364656963,TRUE
10.699998,0.0008982756,0.000363077462,TRUE
10.8,0.0008944051,0.000361509015,TRUE
10.900002,0.0008905625,0.000359951423,TRUE
10.999998,0.0008867481,0.000358404686,TRUE
11.1,0.0008829614,0.000356868904,TRUE
11.200002,0.0008792025,0.000355343778,TRUE
11.299998,0.0008754713,0.000353829608,TRUE
11.4,0.0008717683,0.000352326793,TRUE
11.500002,0.0008680929,0.000350834936,TRUE
11.599998,0.0008644449,0.000349353835,TRUE
11.7,0.0008608244,0.000347883492,TRUE
11.800002,0.0008572309,0.000346423906,TRUE
11.899998,0.0008536644,0.000344974778,TRUE
12,0.0008501248,0.000343536108,TRUE
12.100002,0.0008466124,0.000342108696,TRUE
12.199998,0.0008431269,0.000340691843,TRUE
12.3,0.0008396679,0.000339285649,TRUE
12.400002,0.0008362353,0.000337890015,TRUE
12.499998,0.000832829,0.00033650474,TRUE
12.6,0.0008294487,0.000335129825,TRUE
12.700002,0.0008260945,0.000333765271,TRUE
12.799998,0.0008227661,0.000332411177,TRUE
12.9,0.0008194634,0.000331067344,TRUE
13.000002,0.0008161862,0.000329733872,TRUE
13.099998,0.0008129344,0.000328410662,TRUE
13.2,0.0008097078,0.000327097613,TRUE
13.300002,0.0008065063,0.000325794727,TRUE
13.399998,0.0008033297,0.000324501902,TRUE
13.5,0.0008001777,0.000323219141,TRUE
13.600002,0.0007970502,0.000321946142,TRUE
13.699998,0.000793947,0.000320683207,TRUE
13.8,0.000790868,0.000319430035,TRUE
13.900002,0.0007878129,0.000318186626,TRUE
13.999998,0.0007847816,0.000316952982,TRUE
14.1,0.0007817741,0.000315729102,TRUE
14.200002,0.0007787899,0.000314514687,TRUE
14.299998,0.0007758288,0.000313309836,TRUE
14.4,0.0007728909,0.000312114351,TRUE
14.500002,0.0007699757,0.000310928131,TRUE
14.599998,0.0007670831,0.000309751277,TRUE
14.7,0.000764213,0.000308583589,TRUE
14.800002,0.0007613652,0.000307425067,TRUE
14.899998,0.0007585394,0.000306275511,TRUE
15,0.0007557354,0.000305134923,TRUE
