Time [h],PeripheralVenousBlood-Analog6-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog6-Concentration in container [µmol/l],Brain-Analog6-Tissue [µmol/l],Liver-Analog6-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog6-Concentration in container [µmol/l],Brain-Interstitial-Analog6-Concentration in container [µmol/l],Brain-BloodCells-Analog6-Concentration in container [µmol/l],Brain-Plasma-Analog6-Concentration in container [µmol/l],PeripheralVenousBlood-Analog6-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog6-Whole Blood [µmol/l]
0.08166667,0.001364859,0.001172309,0.000003446635,0.001945826,0.000001455144,0.0004799108,0.0003314628,0.001177451,0.0008992158,0.0007765117
0.08333334,0.001351474,0.001166055,0.000003445286,0.001946153,0.000001468895,0.0004762969,0.0003296129,0.001170997,0.0008905087,0.0007723411
0.085,0.001338456,0.001159974,0.00000344469,0.001945762,0.000001482544,0.0004728879,0.0003278186,0.001164738,0.0008820418,0.0007682858
0.08666667,0.001325793,0.001154046,0.00000344476,0.001944698,0.000001496098,0.0004696621,0.000326074,0.001158654,0.0008738065,0.0007643334
0.08833334,0.001313474,0.001148252,0.000003445406,0.001943001,0.000001509561,0.0004665962,0.0003243729,0.001152721,0.0008657955,0.0007604705
0.09,0.001301489,0.001142574,0.000003446543,0.00194071,0.000001522939,0.000463669,0.0003227096,0.00114692,0.0008580015,0.0007566853
0.09166667,0.001289825,0.001137001,0.000003448123,0.001937863,0.000001536233,0.0004608678,0.0003210809,0.001141238,0.0008504162,0.000752971
0.09333333,0.001278472,0.001131519,0.000003450075,0.001934496,0.000001549448,0.000458175,0.0003194821,0.001135658,0.0008430325,0.0007493176
0.095,0.00126742,0.001126115,0.000003452343,0.001930642,0.000001562588,0.0004555763,0.0003179096,0.001130168,0.0008358435,0.0007457174
0.09666667,0.001256657,0.001120784,0.000003454894,0.001926336,0.000001575654,0.0004530631,0.0003163611,0.001124759,0.0008288414,0.0007421661
0.09833334,0.001246172,0.001115516,0.000003457681,0.001921607,0.000001588648,0.0004506238,0.0003148337,0.001119421,0.0008220195,0.0007386574
0.1,0.001235957,0.001110303,0.000003460669,0.001916485,0.000001601574,0.0004482491,0.0003133251,0.001114146,0.0008153712,0.0007351866
0.1016667,0.001225999,0.001105141,0.000003463832,0.001910999,0.000001614432,0.0004459328,0.0003118337,0.001108928,0.0008088896,0.0007317506
0.1033333,0.001216291,0.001100025,0.000003467143,0.001905174,0.000001627224,0.0004436676,0.0003103579,0.001103761,0.0008025685,0.0007283458
0.105,0.001206821,0.00109495,0.000003470577,0.001899037,0.000001639952,0.0004414478,0.0003088962,0.00109864,0.0007964015,0.0007249694
0.1066667,0.001197582,0.001089914,0.000003474118,0.001892611,0.000001652616,0.0004392686,0.0003074475,0.001093562,0.000790383,0.0007216194
0.1083333,0.001188565,0.001084913,0.000003477747,0.001885918,0.000001665218,0.0004371253,0.0003060108,0.001088522,0.000784507,0.0007182935
0.11,0.001179761,0.001079944,0.000003481448,0.001878981,0.000001677759,0.0004350141,0.0003045852,0.001083518,0.000778768,0.0007149901
0.1116667,0.001171161,0.001075007,0.00000348521,0.001871818,0.000001690239,0.000432932,0.0003031701,0.001078547,0.000773161,0.0007117079
0.1133333,0.001162758,0.001070098,0.000003489019,0.00186445,0.00000170266,0.0004308755,0.0003017647,0.001073608,0.0007676806,0.0007084456
0.115,0.001154546,0.001065216,0.000003492866,0.001856893,0.000001715022,0.000428842,0.0003003684,0.001068697,0.0007623222,0.0007052019
0.1166667,0.001146515,0.001060361,0.000003496742,0.001849165,0.000001727325,0.0004268299,0.0002989809,0.001063815,0.000757081,0.0007019766
0.1183333,0.00113866,0.001055532,0.00000350064,0.001841282,0.000001739571,0.0004248365,0.0002976019,0.001058959,0.0007519527,0.0006987687
0.12,0.001130974,0.001050726,0.000003504553,0.001833258,0.00000175176,0.0004228605,0.0002962309,0.001054129,0.0007469329,0.0006955776
0.1216667,0.00112345,0.001045945,0.000003508477,0.001825108,0.000001763892,0.0004209006,0.0002948678,0.001049324,0.0007420175,0.0006924032
0.1233333,0.001116083,0.001041188,0.000003512407,0.001816845,0.000001775967,0.0004189556,0.0002935124,0.001044543,0.0007372026,0.0006892451
0.125,0.001108866,0.001036454,0.000003516339,0.001808482,0.000001787987,0.0004170244,0.0002921646,0.001039787,0.0007324846,0.0006861032
0.1266667,0.001101795,0.001031743,0.00000352027,0.001800029,0.000001799952,0.0004151064,0.0002908242,0.001035055,0.0007278597,0.0006829773
0.1283333,0.001094862,0.001027057,0.000003524198,0.001791498,0.000001811861,0.0004132008,0.0002894913,0.001030347,0.0007233245,0.0006798675
0.13,0.001088065,0.001022393,0.000003528122,0.001782899,0.000001823716,0.0004113073,0.0002881657,0.001025662,0.000718876,0.0006767738
0.1316667,0.001081397,0.001017754,0.00000353204,0.001774241,0.000001835516,0.0004094253,0.0002868475,0.001021002,0.0007145107,0.0006736962
0.1333333,0.001074854,0.001013138,0.00000353595,0.001765534,0.000001847263,0.0004075544,0.0002855366,0.001016365,0.0007102258,0.0006706349
0.135,0.001068432,0.001008546,0.000003539851,0.001756787,0.000001858955,0.0004056943,0.0002842331,0.001011753,0.0007060185,0.0006675898
0.1366667,0.001062125,0.001003978,0.000003543743,0.001748006,0.000001870594,0.0004038446,0.0002829369,0.001007165,0.000701886,0.0006645609
0.1383333,0.001055932,0.0009994353,0.000003547627,0.001739199,0.00000188218,0.0004020059,0.0002816482,0.001002602,0.0006978258,0.000661549
0.14,0.001049846,0.0009949171,0.000003551502,0.001730372,0.000001893713,0.0004001775,0.000280367,0.0009980634,0.0006938354,0.0006585538
0.1416667,0.001043865,0.0009904238,0.000003555366,0.001721534,0.000001905193,0.0003983592,0.0002790932,0.0009935498,0.0006899123,0.0006555754
0.1433333,0.001037985,0.0009859554,0.000003559219,0.001712688,0.000001916621,0.0003965507,0.0002778268,0.0009890611,0.0006860544,0.0006526136
0.145,0.001032203,0.0009815119,0.000003563061,0.001703842,0.000001927998,0.0003947519,0.0002765679,0.0009845974,0.0006822594,0.0006496689
0.1466667,0.001026516,0.0009770949,0.000003566896,0.001695,0.000001939322,0.0003929639,0.0002753167,0.00098016,0.0006785255,0.0006467417
0.1483333,0.00102092,0.0009727035,0.000003570721,0.001686165,0.000001950595,0.0003911858,0.0002740731,0.0009757483,0.0006748505,0.000643832
0.15,0.001015413,0.0009683381,0.000003574536,0.001677345,0.000001961817,0.0003894175,0.0002728371,0.0009713625,0.0006712326,0.0006409396
