Time [h],PeripheralVenousBlood-Analog3-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog3-Concentration in container [µmol/l],Brain-Analog3-Tissue [µmol/l],Liver-Analog3-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog3-Concentration in container [µmol/l],Brain-Interstitial-Analog3-Concentration in container [µmol/l],Brain-BloodCells-Analog3-Concentration in container [µmol/l],Brain-Plasma-Analog3-Concentration in container [µmol/l],PeripheralVenousBlood-Analog3-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog3-Whole Blood [µmol/l]
0.12,0.0008456273,0.0007540203,0.000002667281,0.002018587,0.000001488182,0.0002847667,0.0003103743,0.0007566022,0.000607109,0.0005450101
0.1216667,0.0008380516,0.0007506394,0.000002670157,0.002015859,0.000001497127,0.0002833178,0.0003089213,0.0007531494,0.0006018172,0.000542541
0.1233333,0.0008306903,0.0007473273,0.000002673148,0.002012891,0.000001506026,0.0002819071,0.0003074996,0.0007497697,0.0005966745,0.0005401228
0.125,0.0008235364,0.0007440803,0.000002676244,0.002009693,0.000001514881,0.0002805323,0.0003061075,0.0007464591,0.0005916759,0.0005377524
0.1266667,0.0008165829,0.0007408943,0.000002679438,0.002006277,0.000001523694,0.0002791913,0.0003047431,0.000743213,0.0005868162,0.000535427
0.1283333,0.0008098229,0.000737766,0.000002682722,0.002002654,0.000001532464,0.0002778819,0.0003034051,0.0007400282,0.0005820909,0.0005331442
0.13,0.0008032499,0.0007346918,0.000002686089,0.001998834,0.000001541194,0.0002766021,0.0003020918,0.0007369005,0.000577495,0.0005309014
0.1316667,0.0007968576,0.0007316682,0.000002689532,0.001994828,0.000001549884,0.0002753502,0.0003008015,0.0007338263,0.0005730243,0.0005286959
0.1333333,0.0007906396,0.0007286929,0.000002693045,0.001990645,0.000001558535,0.0002741245,0.0002995332,0.0007308031,0.0005686744,0.0005265261
0.135,0.00078459,0.0007257629,0.000002696622,0.001986294,0.000001567148,0.0002729234,0.0002982857,0.0007278278,0.0005644408,0.00052439
