ligand_id,logD7.4_est,TPSA,E_dock
emap3_Bn-4F_CH2SiMe3,3.717,73.02,-6.245
emap3_Bn-4F_CH2CH2SiMe3,4.178,73.02,-5.758
emap3_Bn-4F_OSiMe3,3.026,82.25,-6.178
emap3_Bn-4F_CH2SiEt3,4.887,73.02,-5.89
emap3_Bn-4F_tBu,3.594,73.02,-6.211
emap3_Bn-4F_BnCH2,4.196,73.02,-5.826
emap3_Bn-4F_PhCH2F,4.298,73.02,-5.96
emap3_Bn-4F_OCH2CF2H,2.959,82.25,-6.278
emap3_Bn-4F_OCH2CH2CF2H,3.002,82.25,-5.788
emap3_Bn-4F_CH2CF2H,3.234,73.02,-5.241
emap3_Bn-4F_CH2CH2CF2H,3.104,73.02,-6.274
emap3_Bn-4F_OCH2CH2CH2CHF2,3.392,82.25,-6.451
emap3_Bn-4F_CH2CH2CF2CF3,3.74,73.02,-5.499
emap3_Bn-4F_CH2CF2CF3,3.87,73.02,-6.097
emap3_Bn-4F_CH2CH2CH2CF2CF3,4.13,73.02,-6.648
emap3_Bn-4F_CH2CH2CF2CH3,3.197,73.02,-6.28
emap3_Bn-4F_OCH2CF2CF3,3.594,82.25,-6.026
emap3_Bn-4F_OCH2CF2CH3,3.052,82.25,-6.242
emap3_Bn-4F_OCH2CH2CF2CF3,3.637,82.25,-5.644
emap3_Bn-4F_CH2CF2CH2F,3.277,73.02,-6.196
emap3_Bn-4F_CH2CH2CF2CH2F,3.147,73.02,-6.178
emap3_Bn-4F_OCH2CF2CH2F,3.002,82.25,-6.253
emap3_Bn-4F_CH2CH2CF2CH2CHF2,3.443,73.02,-6.388
emap3_Bn-4F_CH2CH2CF2CH2CF3,3.74,73.02,-5.811
emap3_Bn-4F_OCH2CH2CF2CH2F,3.044,82.25,-5.715
emap3_Bn-4F_CH2CH2CF2CH2CH2F,3.537,73.02,-6.272
emap3_Bn-4F_CH2CF2CH2CH2F,3.667,73.02,-6.387
emap3_Bn-4F_CH2CF2CH2CHF2,3.573,73.02,-6.059
emap3_Bn-4F_CH2CF2CH2CF3,3.87,73.02,-6.407
emap3_Bn-4F_OCH2CF2CH2CH2F,3.392,82.25,-5.964
emap3_Bn-4F_OCH2CH2CF2CH2CH2F,3.434,82.25,-5.446
emap3_Bn-4F_CH2CH2CF2CH2CH2CHF2,3.833,73.02,-5.991
emap3_Bn-4F_CH2CH2CF2CH2CH2CF3,4.13,73.02,-6.639
emap3_Bn-3F_Me,2.376,73.02,-5.304
emap3_Bn-3F_Et,2.859,73.02,-5.143
emap3_Bn-3F_nPr,3.249,73.02,-6.437
emap3_Bn-3F_nBu,3.639,73.02,-6.396
emap3_Bn-3F_CH2F,2.766,73.02,-6.024
emap3_Bn-3F_CH2CH2F,2.809,73.02,-6.069
emap3_Bn-3F_CH2CH2CH2F,3.199,73.02,-6.22
emap3_Bn-3F_CH2CHF2,3.234,73.02,-6.237
