endpoint,endpoint_label,endpoint_class,candidate,n_independent_trajectories,mean,sd,median,min,max,analysis_type
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,secondary,AC-5216,5,-3.2783739134956518,4.858865338408596,-1.8194752779011107,-10.485949943799774,2.4806579226316927,descriptive
com_delta_final_minus_first_A,COM-to-pocket drift,secondary,A3,5,1.245601188750504,2.350621817801223,2.4019962126601433,-2.3484710844895016,3.393196937448014,descriptive
com_delta_final_minus_first_A,COM-to-pocket drift,secondary,A7,5,0.09640052873928381,0.7454916163528554,0.215510791671539,-0.9726093915238012,1.1016290022363,descriptive
com_delta_final_minus_first_A,COM-to-pocket drift,secondary,A8,5,-0.6162194702304733,1.2187541094954522,-0.3910265578310543,-2.365017033233072,0.5394616796782303,descriptive
com_delta_final_minus_first_A,COM-to-pocket drift,secondary,A15,5,0.7022936161820634,0.6256644371026163,0.4731738361291064,-0.0418508341342178,1.5325151377891275,descriptive
com_delta_final_minus_first_A,COM-to-pocket drift,secondary,AC-5216,5,0.33457929408137466,1.2307611400347747,0.0207990712448387,-1.393602859574364,1.657740652040718,descriptive
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,secondary,A3,5,1.74754913795539,1.7167235065440136,1.7953116198892962,-0.3893764378983908,4.2015578025854285,descriptive
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,secondary,A7,5,0.5262491215897381,0.781412539660726,0.482155449718082,-0.1500980025383596,1.751444641115759,descriptive
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,secondary,A8,5,0.9469848350770299,1.0529106702211273,1.2694698678195095,-0.2695267220204465,2.316113960139983,descriptive
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,secondary,A15,5,1.4250013610784227,1.740926502811054,0.9811781315435616,-0.6141559691404765,3.5124815018236264,descriptive
ligand_rmsd_delta_final_minus_first_A,Ligand RMSD drift,secondary,AC-5216,5,1.133060297315303,2.1898785983034212,1.7037733603198402,-2.3556406799372045,3.250519641119908,descriptive
