candidate,replicate,source_file,n_frames,protein_rmsd_mean_A,protein_rmsd_final2ns_mean_A,ligand_rmsd_mean_A,ligand_rmsd_final2ns_mean_A,fixed_contacts_mean,fixed_contacts_final2ns_mean,all_contacts_mean,all_contacts_final2ns_mean,fixed_min_distance_mean_A,fixed_min_distance_final2ns_mean_A,all_min_distance_mean_A,all_min_distance_final2ns_mean_A,com_to_pocket_mean_A,com_to_pocket_final2ns_mean_A,frames_fixed_contacts_ge5_pct,frames_fixed_contacts_ge10_pct,frames_all_contacts_ge5_pct,frames_all_contacts_ge10_pct,fixed_contacts_first5ns_mean,fixed_contacts_final5ns_mean,fixed_contacts_delta_final_minus_first,com_first5ns_mean_A,com_final5ns_mean_A,com_delta_final_minus_first_A,ligand_rmsd_first5ns_mean_A,ligand_rmsd_final5ns_mean_A,ligand_rmsd_delta_final_minus_first_A
A8,1,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A8/openmm_setup_fine14_001/opencl_2fs_10ns/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,1.998605612174398,2.4275557120329707,5.408498219768457,5.434261387864925,14.602,20.243781094527364,14.994,21.791044776119403,3.409928887099716,3.3025085248585384,3.409432311741477,3.300038000688195,7.4984113070964815,5.1655590534210205,95.1,75.5,95.1,75.6,11.723446893787575,17.469061876247505,5.74561498245993,8.68328484074625,6.318267807513178,-2.365017033233072,5.38221238541817,5.434679120648283,0.05246673523011314
A8,2,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A8/openmm_setup_fine14_001/opencl_2fs_10ns_rep2/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.3649037328448927,2.639492434687605,4.011896490839081,4.039274424738634,17.656,18.199004975124378,18.043,18.53731343283582,3.3417547480655254,3.340034015032627,3.3417547480655254,3.340034015032627,7.538317336082459,6.944448250443188,99.3,91.0,99.3,91.10000000000001,16.498997995991985,18.808383233532933,2.3093852375409476,8.17838777091078,6.9008020726506585,-1.277585698260121,4.146929378571325,3.877402656550878,-0.2695267220204465
A8,3,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A8/openmm_setup_fine14_001/opencl_2fs_10ns_rep3/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.4465525908663404,2.899957811365488,8.383697938290187,9.373044682866704,14.455,15.27363184079602,15.376,15.457711442786069,3.3437826125191155,3.2925293092675885,3.323623832477761,3.2925293092675885,7.958078488349915,7.977271668353484,98.1,82.3,98.2,84.3,14.006012024048097,14.902195608782435,0.896183584734338,7.687808186831121,8.227269866509351,0.5394616796782303,7.747693534512612,9.017163402332121,1.2694698678195095
A8,4,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A8/openmm_setup_fine14_001/opencl_2fs_10ns_rep4/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,2.348351433376313,2.732432779349984,3.9406845766831884,6.721976497967234,14.912,13.417910447761194,15.566,13.552238805970148,3.3672774744677256,3.373696789107642,3.3638662543894857,3.373696789107642,5.799367861747742,5.921820571766564,98.3,83.2,98.7,85.7,15.853707414829659,13.974051896207586,-1.879655518622073,5.9952721672211,5.604245609390046,-0.39102655783105433,2.7803114826530573,5.09642544279304,2.316113960139983
A8,5,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A8/openmm_setup_fine14_001/opencl_2fs_10ns_rep5/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,2.374534758989441,2.611248308029531,5.448423215467989,7.265705525871582,21.551,19.154228855721392,22.134,21.870646766169155,3.2961670478983076,3.2845192666521177,3.294569108779189,3.2765693207858524,6.114668648719787,7.24371812355459,99.8,96.8,99.9,97.5,21.79759519038076,21.305389221556887,-0.4922059688238747,5.907720449214469,6.320790707708119,0.41307025849365075,4.7638566480257785,6.130256982241768,1.3664003342159896
A15,1,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A15/openmm_setup_fine14_001/opencl_2fs_10ns/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.3021978743014153,2.527279887096639,5.023267161565456,5.442107173442995,16.033,15.348258706467663,16.231,15.507462686567164,3.3116379927890414,3.363283609926142,3.3113615231231317,3.3626530036206983,8.130674294948578,8.536951655772194,98.7,85.7,98.7,86.4,15.22244488977956,16.840319361277444,1.6178744714978848,8.151641562849822,8.109790728715604,-0.04185083413421786,4.856963865646503,5.188906572071559,0.33194270642505597
A15,2,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A15/openmm_setup_fine14_001/opencl_2fs_10ns_rep2/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.232725070031239,2.72549824866074,8.517014053437059,11.037003857357277,14.612,10.562189054726367,18.157,20.064676616915424,3.3440212412334196,3.3816407371478587,3.2855763417871713,3.2324260998654983,9.098033597946166,10.645992729794326,93.60000000000001,77.3,98.5,90.3,16.438877755511022,12.792415169660678,-3.646462585850344,8.330243513913814,9.862758651702942,1.5325151377891277,7.057320275632145,9.97088071037249,2.9135604347403454
A15,3,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A15/openmm_setup_fine14_001/opencl_2fs_10ns_rep3/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.2728985605511793,2.675574578599015,5.4230695699803615,6.999821248708567,20.404,14.139303482587065,24.439,21.228855721393035,3.239373896976713,3.3234097359058787,3.181156529836055,3.203567103791095,7.012035150051117,7.614251948114651,99.4,91.7,100.0,97.89999999999999,26.509018036072145,14.323353293413174,-12.185664742658972,6.443688383083305,7.578113067649795,1.1344246845664898,3.663316337566725,7.175797839390351,3.5124815018236264
A15,4,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A15/openmm_setup_fine14_001/opencl_2fs_10ns_rep4/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,1.9754034262624462,2.232576556893888,7.570937182794278,8.143658887586508,13.511,11.308457711442786,26.526,25.90547263681592,3.3705727149354034,3.440805372728732,3.169050472071507,3.2389676623261527,8.960961637973785,9.108524970154264,93.89999999999999,68.0,100.0,98.7,17.334669338677354,9.702594810379242,-7.632074528298112,8.723901546073103,9.19707538220221,0.47317383612910646,7.079366938890953,8.060545070434515,0.9811781315435617
A15,5,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/A15/openmm_setup_fine14_001/opencl_2fs_10ns_rep5/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,2.5859272736711523,3.1718580136878707,5.757374245902698,5.632280969789367,20.651,26.218905472636816,21.026,26.611940298507463,3.2449889333824022,3.2618315669819866,3.2437462416172114,3.2618315669819866,8.315339328289031,8.013028294292848,97.3,88.0,97.5,88.8,21.460921843687373,19.84431137724551,-1.6166104664418626,8.108323494752566,8.521528751312378,0.4132052565598112,6.065066386442076,5.4509104173016,-0.6141559691404765
AC-5216,1,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/AC-5216/openmm_setup_fine14_001/opencl_2fs_10ns/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.4108366751431984,2.732332062577612,2.408434665545633,3.116698424339019,20.866,20.855721393034827,21.138,22.019900497512438,3.3740666444716507,3.3577326243556302,3.3724514233227283,3.350444040922519,6.044256760597229,5.704352727576868,99.7,95.7,99.7,95.89999999999999,21.561122244488978,20.17365269461078,-1.3874695498781975,6.033836425903565,6.0546354971484035,0.020799071244838707,2.1261661946860135,2.6895763161622996,0.5634101214762861
AC-5216,2,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/AC-5216/openmm_setup_fine14_001/opencl_2fs_10ns_rep2/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.483525503920594,3.1647422298666394,5.879088012936375,7.852523661588406,15.977,11.26865671641791,16.833,12.134328358208956,3.3920324513144604,3.44524355132667,3.386735093224721,3.4295124618204365,7.412183788776398,8.199695459052698,93.89999999999999,73.3,94.1,76.1,21.230460921843687,10.744510978043913,-10.485949943799774,6.581655722103998,8.239396374144716,1.6577406520407179,4.624965252093935,7.12820429569162,2.5032390435976852
AC-5216,3,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/AC-5216/openmm_setup_fine14_001/opencl_2fs_10ns_rep3/analysis_pbc_corrected/trajectory_metrics_pbc_corrected.csv,1000,2.3954596841192526,2.317496380284617,4.044182985407787,5.8858746333131595,19.403,17.71641791044776,19.403,17.71641791044776,3.399702450246282,3.4319405759803945,3.399702450246282,3.4319405759803945,7.512438255786896,8.107482060864196,99.2,93.10000000000001,99.2,93.10000000000001,21.997995991983966,16.818363273453095,-5.179632718530872,6.816761830048953,8.205337530124687,1.3885757000757346,2.4156726452067128,5.666192286326621,3.250519641119908
AC-5216,4,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/AC-5216/openmm_setup_fine14_001/opencl_2fs_10ns_rep4/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,2.5353739412209957,2.7888718712090124,2.9663752720703145,1.8188808697711376,19.838,22.059701492537314,20.808,22.059701492537314,3.3873226987571217,3.3875438401525453,3.37793725497214,3.3875438401525453,5.566734406232833,4.811222918591096,99.3,92.9,99.7,95.19999999999999,18.595190380761522,21.075848303393215,2.4806579226316927,6.26492943887959,4.871326579305226,-1.3936028595743641,4.1465512527188535,1.7909105727816492,-2.3556406799372045
AC-5216,5,/Users/dhruv/Documents/Research/TBI-tracer/MD_runs_v2/AC-5216/openmm_setup_fine14_001/opencl_2fs_10ns_rep5/analysis_v2/trajectory_metrics_pbc_corrected.csv,1000,2.8647359082885524,3.2337186221298517,4.237928805368012,4.71667033458657,16.367,15.144278606965175,16.455,15.154228855721392,3.2822242813078963,3.232183988035546,3.2822242813078963,3.232183988035546,6.288033997535705,5.952504974099534,98.9,84.89999999999999,98.9,84.89999999999999,17.278557114228455,15.459081836327345,-1.8194752779011107,6.288342660319112,6.2877265669390585,-0.0006160933800538615,3.3843383518477723,5.0881117121676125,1.7037733603198402
