endpoint,endpoint_label,candidate,n_independent_trajectories,replicate_1,replicate_2,replicate_3,mean,sd,median,min,max,range
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A15,3,5.023267161565456,8.517014053437059,5.4230695699803615,6.321116928327626,1.9121803339359749,5.4230695699803615,5.023267161565456,8.517014053437059,3.493746891871603
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,AC-5216,3,2.408434665545633,5.879088012936375,4.044182985407787,4.110568554629931,1.7362787642799045,4.044182985407787,2.408434665545633,5.879088012936375,3.470653347390742
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,3,5.246304148738,4.981039911160835,9.70900992801611,6.645451329304982,2.6564327103725063,5.246304148738,4.981039911160835,9.70900992801611,4.727970016855275
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A7,3,4.667172853449377,6.0107236525760745,5.1051266730571285,5.26100772636086,0.685205344800234,5.1051266730571285,4.667172853449377,6.0107236525760745,1.3435507991266977
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A8,3,5.434261387864925,4.039274424738634,9.373044682866704,6.282193498490088,2.7661377297225864,5.434261387864925,4.039274424738634,9.373044682866704,5.3337702581280695
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A15,3,5.442107173442995,11.037003857357275,6.999821248708567,7.826310759836279,2.887564875448142,6.999821248708567,5.442107173442995,11.037003857357275,5.59489668391428
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,AC-5216,3,3.116698424339019,7.852523661588406,5.8858746333131595,5.618365573080195,2.3792185676019963,5.8858746333131595,3.116698424339019,7.852523661588406,4.7358252372493865
all_min_distance_mean_A,All-protein minimum distance,A3,3,3.42156551588839,3.324600476014858,3.410154111319851,3.3854400344076994,0.05299664081461874,3.410154111319851,3.324600476014858,3.42156551588839,0.096965039873532
all_min_distance_mean_A,All-protein minimum distance,A7,3,3.189964829301941,3.1403725952863732,3.2027247307158104,3.1776873851013754,0.03293932186955632,3.189964829301941,3.1403725952863732,3.2027247307158104,0.06235213542943718
all_min_distance_mean_A,All-protein minimum distance,A8,3,3.409432311741477,3.3417547480655254,3.323623832477761,3.358270297428254,0.04522550504364153,3.3417547480655254,3.323623832477761,3.409432311741477,0.08580847926371593
all_min_distance_mean_A,All-protein minimum distance,A15,3,3.3113615231231317,3.2855763417871713,3.181156529836055,3.259364798248786,0.0689464925157213,3.2855763417871713,3.181156529836055,3.3113615231231317,0.13020499328707658
all_min_distance_mean_A,All-protein minimum distance,AC-5216,3,3.3724514233227283,3.386735093224721,3.399702450246282,3.3862963222645774,0.013630810946662785,3.386735093224721,3.3724514233227283,3.399702450246282,0.027251026923553745
protein_rmsd_mean_A,Protein backbone RMSD,A3,3,2.277369416090217,1.9865152845700167,2.132393606277349,2.1320927689791946,0.14542729913225538,2.132393606277349,1.9865152845700167,2.277369416090217,0.29085413152020045
