endpoint,endpoint_label,candidate_1,candidate_2,n_1,n_2,mean_1,mean_2,mean_difference_1_minus_2,median_1,median_2,mann_whitney_U,exact_p_value,hedges_g_1_minus_2,cliffs_delta_1_vs_2,analysis_status,holm_p_all_pairs
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A8,AC-5216,3,3,5.934697549632574,4.110568554629931,1.824128995002643,5.408498219768457,4.044182985407787,6.0,0.7,0.7296292433090396,0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A15,AC-5216,3,3,6.321116928327626,4.110568554629931,2.210548373697695,5.4230695699803615,4.044182985407787,7.0,0.4,0.9682920393092962,0.5555555555555556,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,A7,3,3,6.645451329304982,5.26100772636086,1.3844436029441223,5.246304148738,5.1051266730571285,6.0,0.7,0.5709447388422149,0.3333333333333333,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,A8,3,3,6.645451329304982,6.282193498490088,0.36325783081489416,5.246304148738,5.434261387864925,5.0,1.0,0.10716202340716359,0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,A15,3,3,6.645451329304982,7.826310759836279,-1.1808594305312967,5.246304148738,6.999821248708567,2.0,0.4,-0.3405007371880219,-0.5555555555555556,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,AC-5216,3,3,6.645451329304982,5.618365573080195,1.0270857562247873,5.246304148738,5.8858746333131595,5.0,1.0,0.3258471781396266,0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A7,A8,3,3,5.26100772636086,6.282193498490088,-1.0211857721292281,5.1051266730571285,5.434261387864925,4.0,1.0,-0.40541922115083173,-0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A7,A15,3,3,5.26100772636086,7.826310759836279,-2.565303033475419,5.1051266730571285,6.999821248708567,1.0,0.2,-0.977949467642055,-0.7777777777777778,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A7,AC-5216,3,3,5.26100772636086,5.618365573080195,-0.357357846719335,5.1051266730571285,5.8858746333131595,4.0,1.0,-0.1632944534106601,-0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A8,A15,3,3,6.282193498490088,7.826310759836279,-1.5441172613461909,5.434261387864925,6.999821248708567,2.0,0.4,-0.4368850238561847,-0.5555555555555556,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A8,AC-5216,3,3,6.282193498490088,5.618365573080195,0.6638279254098931,5.434261387864925,5.8858746333131595,5.0,1.0,0.20584276331928894,0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A15,AC-5216,3,3,7.826310759836279,5.618365573080195,2.207945186756084,6.999821248708567,5.8858746333131595,6.0,0.7,0.6676505861184697,0.3333333333333333,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,A7,3,3,3.3854400344076994,3.1776873851013754,0.20775264930632398,3.410154111319851,3.189964829301941,9.0,0.1,3.7668081244042932,1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,A8,3,3,3.3854400344076994,3.358270297428254,0.027169736979445247,3.410154111319851,3.3417547480655254,7.0,0.4,0.44120555262640493,0.5555555555555556,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,A15,3,3,3.3854400344076994,3.259364798248786,0.12607523615891347,3.410154111319851,3.2855763417871713,9.0,0.1,1.640245644637664,1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,AC-5216,3,3,3.3854400344076994,3.3862963222645774,-0.0008562878568780796,3.410154111319851,3.386735093224721,6.0,0.7,-0.017703810358417196,0.3333333333333333,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A7,A8,3,3,3.1776873851013754,3.358270297428254,-0.18058291232687873,3.189964829301941,3.3417547480655254,0.0,0.1,-3.6516195144831407,-1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A7,A15,3,3,3.1776873851013754,3.259364798248786,-0.0816774131474105,3.189964829301941,3.2855763417871713,2.0,0.4,-1.2093498010732417,-0.5555555555555556,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A7,AC-5216,3,3,3.1776873851013754,3.3862963222645774,-0.20860893716320206,3.189964829301941,3.386735093224721,0.0,0.1,-6.62063499807352,-1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A8,A15,3,3,3.358270297428254,3.259364798248786,0.09890549917946823,3.3417547480655254,3.2855763417871713,9.0,0.1,1.3570755214971975,1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A8,AC-5216,3,3,3.358270297428254,3.3862963222645774,-0.028026024836323327,3.3417547480655254,3.386735093224721,3.0,0.7,-0.6712782239732287,-0.3333333333333333,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A15,AC-5216,3,3,3.259364798248786,3.3862963222645774,-0.12693152401579155,3.2855763417871713,3.386735093224721,0.0,0.1,-2.043320990593247,-1.0,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,A7,3,3,2.1320927689791946,2.2739158513932494,-0.14182308241405472,2.132393606277349,2.3842165427407127,3.0,0.7,-0.5464995271778428,-0.3333333333333333,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,A8,3,3,2.1320927689791946,2.2700206452952103,-0.13792787631601566,2.132393606277349,2.3649037328448927,2.0,0.4,-0.5585061405585438,-0.5555555555555556,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,A15,3,3,2.1320927689791946,2.269273834961278,-0.13718106598208335,2.132393606277349,2.2728985605511793,2.0,0.4,-1.0377892398973956,-0.5555555555555556,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,AC-5216,3,3,2.1320927689791946,2.429940621061015,-0.2978478520818202,2.132393606277349,2.4108366751431984,0.0,0.1,-2.204687691965167,-1.0,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A7,A8,3,3,2.2739158513932494,2.2700206452952103,0.0038952060980390613,2.3842165427407127,2.3649037328448927,5.0,1.0,0.012618508913285845,0.1111111111111111,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A7,A15,3,3,2.2739158513932494,2.269273834961278,0.004642016431971374,2.3842165427407127,2.2728985605511793,6.0,0.7,0.02040096687794584,0.3333333333333333,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A7,AC-5216,3,3,2.2739158513932494,2.429940621061015,-0.15602476966776546,2.3842165427407127,2.4108366751431984,2.0,0.4,-0.6806092942844442,-0.5555555555555556,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A8,A15,3,3,2.2700206452952103,2.269273834961278,0.0007468103339323129,2.3649037328448927,2.2728985605511793,6.0,0.7,0.003504330610536557,0.3333333333333333,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A8,AC-5216,3,3,2.2700206452952103,2.429940621061015,-0.15991997576580452,2.3649037328448927,2.4108366751431984,2.0,0.4,-0.7440600956854436,-0.5555555555555556,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A15,AC-5216,3,3,2.269273834961278,2.429940621061015,-0.16066678609973684,2.2728985605511793,2.4108366751431984,0.0,0.1,-3.1041428002166276,-1.0,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A3,A7,3,3,15.665008291873962,29.300165837479266,-13.635157545605304,12.621890547263682,29.696517412935325,2.0,0.4,-0.9294893873740459,-0.5555555555555556,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A3,A8,3,3,15.665008291873962,17.90547263681592,-2.240464344941957,12.621890547263682,18.199004975124375,3.0,0.7,-0.15883756737574237,-0.3333333333333333,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A3,A15,3,3,15.665008291873962,13.349917081260365,2.3150912106135966,12.621890547263682,14.139303482587064,4.0,1.0,0.16414314033670363,-0.1111111111111111,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A3,AC-5216,3,3,15.665008291873962,16.613598673300164,-0.948590381426202,12.621890547263682,17.71641791044776,4.0,1.0,-0.06503440562716638,-0.1111111111111111,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A7,A8,3,3,29.300165837479266,17.90547263681592,11.394693200663347,29.696517412935325,18.199004975124375,9.0,0.1,2.2354048204689483,1.0,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A7,A15,3,3,29.300165837479266,13.349917081260365,15.950248756218901,29.696517412935325,14.139303482587064,9.0,0.1,3.131289390578891,1.0,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A7,AC-5216,3,3,29.300165837479266,16.613598673300164,12.686567164179102,29.696517412935325,17.71641791044776,9.0,0.1,2.0116588949159,1.0,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A8,A15,3,3,17.90547263681592,13.349917081260365,4.555555555555554,18.199004975124375,14.139303482587064,8.0,0.2,1.4616309996035044,0.7777777777777778,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A8,AC-5216,3,3,17.90547263681592,16.613598673300164,1.291873963515755,18.199004975124375,17.71641791044776,5.0,1.0,0.26627059529849095,0.1111111111111111,exploratory,1.0
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A15,AC-5216,3,3,13.349917081260365,16.613598673300164,-3.2636815920397986,14.139303482587064,17.71641791044776,2.0,0.4,-0.6732005217495347,-0.5555555555555556,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A3,A7,3,3,9.223055071696317,6.003297233265234,3.219757838431083,7.578078065938618,6.112075293242042,8.0,0.2,0.9002060107687561,0.7777777777777778,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A3,A8,3,3,9.223055071696317,6.6957596574058975,2.5272954142904194,7.578078065938618,6.944448250443188,6.0,0.7,0.717766728185668,0.3333333333333333,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A3,A15,3,3,9.223055071696317,8.932398777893724,0.29065629380259317,7.578078065938618,8.536951655772194,3.0,0.7,0.08154622440931358,-0.3333333333333333,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A3,AC-5216,3,3,9.223055071696317,7.337176749164588,1.8858783225317293,7.578078065938618,8.107482060864196,5.0,1.0,0.5359570212224407,0.1111111111111111,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A7,A8,3,3,6.003297233265234,6.6957596574058975,-0.6924624241406638,6.112075293242042,6.944448250443188,3.0,0.7,-0.36723441969217197,-0.3333333333333333,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A7,A15,3,3,6.003297233265234,8.932398777893724,-2.92910154462849,6.112075293242042,8.536951655772194,0.0,0.1,-1.4904779087463478,-1.0,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A7,AC-5216,3,3,6.003297233265234,7.337176749164588,-1.333879515899354,6.112075293242042,8.107482060864196,2.0,0.4,-0.7090438541084194,-0.5555555555555556,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A8,A15,3,3,6.6957596574058975,8.932398777893724,-2.236639120487826,6.944448250443188,8.536951655772194,1.0,0.2,-1.2011826396074277,-0.7777777777777778,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A8,AC-5216,3,3,6.6957596574058975,7.337176749164588,-0.6414170917586901,6.944448250443188,8.107482060864196,2.0,0.4,-0.3617329214916315,-0.5555555555555556,exploratory,1.0
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A15,AC-5216,3,3,8.932398777893724,7.337176749164588,1.595222028729136,8.536951655772194,8.107482060864196,7.0,0.4,0.8587552095934696,0.5555555555555556,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A3,A7,3,3,4.8442513770055085,0.4793045838850034,4.364946793120505,-1.4468257873031476,2.7308029232116944,5.0,1.0,0.35044822872391196,0.1111111111111111,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A3,A8,3,3,4.8442513770055085,2.9837279349117387,1.8605234420937697,-1.4468257873031476,2.3093852375409476,3.0,0.7,0.15486985577146017,-0.3333333333333333,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A3,A15,3,3,4.8442513770055085,-4.738084285670477,9.582335662675986,-1.4468257873031476,-3.646462585850344,6.0,0.7,0.7194879920438795,0.3333333333333333,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A3,AC-5216,3,3,4.8442513770055085,-5.684350737402948,10.528602114408457,-1.4468257873031476,-5.179632718530872,7.0,0.4,0.8435540516175918,0.5555555555555556,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A7,A8,3,3,0.4793045838850034,2.9837279349117387,-2.5044233510267353,2.7308029232116944,2.3093852375409476,4.0,1.0,-0.5527163503719482,-0.1111111111111111,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A7,A15,3,3,0.4793045838850034,-4.738084285670477,5.217388869555481,2.7308029232116944,-3.646462585850344,7.0,0.4,0.712747096949269,0.5555555555555556,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A7,AC-5216,3,3,0.4793045838850034,-5.684350737402948,6.163655321287951,2.7308029232116944,-5.179632718530872,8.0,0.2,1.089775972056283,0.7777777777777778,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A8,A15,3,3,2.9837279349117387,-4.738084285670477,7.7218122205822155,2.3093852375409476,-3.646462585850344,8.0,0.2,1.1806965636274913,0.7777777777777778,exploratory,1.0
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A8,AC-5216,3,3,2.9837279349117387,-5.684350737402948,8.668078672314687,2.3093852375409476,-5.179632718530872,9.0,0.1,1.883595182857021,1.0,exploratory,1.0
